2020-03-27 14:33:44:566 837 sec: 9559 operations; 10.1 current ops/sec; est completion in 10 days 3 hours [SCAN: Count=101, Max=158207, Min=15792, Avg=98128.67, 90=142719, 99=158079, 99.9=158207, 99.99=158207] 
2020-03-27 14:33:54:566 847 sec: 9670 operations; 11.1 current ops/sec; est completion in 10 days 3 hours [SCAN: Count=111, Max=158335, Min=15576, Avg=90741.33, 90=142719, 99=157951, 99.9=158335, 99.99=158335] 
2020-03-27 14:34:04:566 857 sec: 9797 operations; 12.7 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=127, Max=170623, Min=15584, Avg=78700.72, 90=142463, 99=159743, 99.9=170623, 99.99=170623] 
2020-03-27 14:34:14:566 867 sec: 9908 operations; 11.1 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=111, Max=158719, Min=15816, Avg=90493.15, 90=157951, 99=158591, 99.9=158719, 99.99=158719] 
2020-03-27 14:34:24:566 877 sec: 10018 operations; 11 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=110, Max=159487, Min=15616, Avg=89712.18, 90=142847, 99=159359, 99.9=159487, 99.99=159487] 
2020-03-27 14:34:34:566 887 sec: 10132 operations; 11.4 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=114, Max=158847, Min=15752, Avg=88467.68, 90=146047, 99=158719, 99.9=158847, 99.99=158847] 
2020-03-27 14:34:44:567 897 sec: 10239 operations; 10.7 current ops/sec; est completion in 10 days 3 hours [SCAN: Count=107, Max=159103, Min=15760, Avg=93739.74, 90=143103, 99=159103, 99.9=159103, 99.99=159103] 
2020-03-27 14:34:54:566 907 sec: 10355 operations; 11.6 current ops/sec; est completion in 10 days 3 hours [SCAN: Count=116, Max=171263, Min=15720, Avg=86294.34, 90=143871, 99=159231, 99.9=171263, 99.99=171263] 
2020-03-27 14:35:04:566 917 sec: 10472 operations; 11.7 current ops/sec; est completion in 10 days 3 hours [SCAN: Count=117, Max=159615, Min=15624, Avg=85326.94, 90=144127, 99=159103, 99.9=159615, 99.99=159615] 
2020-03-27 14:35:14:566 927 sec: 10586 operations; 11.4 current ops/sec; est completion in 10 days 3 hours [SCAN: Count=114, Max=158719, Min=15696, Avg=87025.89, 90=142719, 99=158463, 99.9=158719, 99.99=158719] 
2020-03-27 14:35:24:566 937 sec: 10714 operations; 12.8 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=128, Max=159615, Min=15736, Avg=78196.78, 90=142335, 99=159615, 99.9=159615, 99.99=159615] 
2020-03-27 14:35:34:567 947 sec: 10819 operations; 10.5 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=105, Max=158847, Min=15712, Avg=96018.13, 90=158079, 99=158847, 99.9=158847, 99.99=158847] 
2020-03-27 14:35:44:566 957 sec: 10930 operations; 11.1 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=111, Max=158591, Min=15712, Avg=89266.59, 90=142975, 99=158463, 99.9=158591, 99.99=158591] 
2020-03-27 14:35:54:566 967 sec: 11045 operations; 11.5 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=115, Max=158847, Min=15744, Avg=86830.33, 90=157951, 99=158719, 99.9=158847, 99.99=158847] 
2020-03-27 14:36:04:566 977 sec: 11165 operations; 12 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=120, Max=158975, Min=15624, Avg=84009.6, 90=157311, 99=158975, 99.9=158975, 99.99=158975] 
2020-03-27 14:36:14:566 987 sec: 11273 operations; 10.8 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=108, Max=171007, Min=15744, Avg=92606.67, 90=157311, 99=158591, 99.9=171007, 99.99=171007] 
2020-03-27 14:36:24:566 997 sec: 11384 operations; 11.1 current ops/sec; est completion in 10 days 3 hours [SCAN: Count=111, Max=159231, Min=15736, Avg=88904.36, 90=142335, 99=158847, 99.9=159231, 99.99=159231] 
2020-03-27 14:36:34:566 1007 sec: 11494 operations; 11 current ops/sec; est completion in 10 days 3 hours [SCAN: Count=110, Max=171391, Min=15520, Avg=92071.38, 90=144895, 99=158719, 99.9=171391, 99.99=171391] 
2020-03-27 14:36:44:566 1017 sec: 11604 operations; 11 current ops/sec; est completion in 10 days 3 hours [SCAN: Count=110, Max=158719, Min=15632, Avg=89995.67, 90=157951, 99=158719, 99.9=158719, 99.99=158719] 
2020-03-27 14:36:54:566 1027 sec: 11712 operations; 10.8 current ops/sec; est completion in 10 days 3 hours [SCAN: Count=108, Max=159487, Min=15792, Avg=92737, 90=142975, 99=159359, 99.9=159487, 99.99=159487] 
2020-03-27 14:37:04:566 1037 sec: 11826 operations; 11.4 current ops/sec; est completion in 10 days 3 hours [SCAN: Count=114, Max=172543, Min=15528, Avg=88234.14, 90=157823, 99=158975, 99.9=172543, 99.99=172543] 
2020-03-27 14:37:14:566 1047 sec: 11942 operations; 11.6 current ops/sec; est completion in 10 days 3 hours [SCAN: Count=116, Max=172543, Min=15840, Avg=86226.24, 90=143231, 99=158719, 99.9=172543, 99.99=172543] 
2020-03-27 14:37:24:566 1057 sec: 12056 operations; 11.4 current ops/sec; est completion in 10 days 3 hours [SCAN: Count=114, Max=158591, Min=15640, Avg=87496, 90=143359, 99=158463, 99.9=158591, 99.99=158591] 
2020-03-27 14:37:34:566 1067 sec: 12166 operations; 11 current ops/sec; est completion in 10 days 3 hours [SCAN: Count=110, Max=159103, Min=15688, Avg=90594.8, 90=158207, 99=159103, 99.9=159103, 99.99=159103] 
2020-03-27 14:37:44:566 1077 sec: 12274 operations; 10.8 current ops/sec; est completion in 10 days 3 hours [SCAN: Count=108, Max=171391, Min=15696, Avg=93241.96, 90=157695, 99=171135, 99.9=171391, 99.99=171391] 
2020-03-27 14:37:54:566 1087 sec: 12394 operations; 12 current ops/sec; est completion in 10 days 3 hours [SCAN: Count=120, Max=158591, Min=15688, Avg=83205.47, 90=142975, 99=158591, 99.9=158591, 99.99=158591] 
