2020-03-29 06:47:41:828 702 sec: 9687 operations; 15 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=150, Max=150399, Min=4400, Avg=66177.09, 90=120127, 99=141055, 99.9=150399, 99.99=150399] 
2020-03-29 06:47:51:829 712 sec: 9834 operations; 14.7 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=147, Max=145919, Min=4452, Avg=68452.52, 90=129087, 99=145919, 99.9=145919, 99.99=145919] 
2020-03-29 06:48:01:828 722 sec: 9979 operations; 14.5 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=145, Max=158207, Min=4504, Avg=68696.23, 90=123967, 99=140287, 99.9=158207, 99.99=158207] 
2020-03-29 06:48:11:828 732 sec: 10113 operations; 13.4 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=134, Max=150527, Min=4164, Avg=74279.94, 90=125951, 99=145407, 99.9=150527, 99.99=150527] 
2020-03-29 06:48:21:828 742 sec: 10262 operations; 14.9 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=149, Max=147967, Min=4456, Avg=67337.96, 90=127615, 99=136575, 99.9=147967, 99.99=147967] 
2020-03-29 06:48:31:828 752 sec: 10402 operations; 14 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=140, Max=145151, Min=4512, Avg=71482.39, 90=127679, 99=144895, 99.9=145151, 99.99=145151] 
2020-03-29 06:48:41:828 762 sec: 10543 operations; 14.1 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=141, Max=151551, Min=4528, Avg=71109.35, 90=129727, 99=151295, 99.9=151551, 99.99=151551] 
2020-03-29 06:48:51:828 772 sec: 10676 operations; 13.3 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=133, Max=152575, Min=4428, Avg=74967.58, 90=130879, 99=137983, 99.9=152575, 99.99=152575] 
2020-03-29 06:49:01:828 782 sec: 10811 operations; 13.5 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=135, Max=147199, Min=4576, Avg=73968.1, 90=126591, 99=145279, 99.9=147199, 99.99=147199] 
2020-03-29 06:49:11:828 792 sec: 10954 operations; 14.3 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=143, Max=158463, Min=4536, Avg=70093.43, 90=123647, 99=146687, 99.9=158463, 99.99=158463] 
2020-03-29 06:49:21:828 802 sec: 11094 operations; 14 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=140, Max=150911, Min=4400, Avg=70848.33, 90=120575, 99=138751, 99.9=150911, 99.99=150911] 
2020-03-29 06:49:31:828 812 sec: 11235 operations; 14.1 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=141, Max=150143, Min=4548, Avg=71419.5, 90=127231, 99=145535, 99.9=150143, 99.99=150143] 
2020-03-29 06:49:41:828 822 sec: 11364 operations; 12.9 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=129, Max=150015, Min=4200, Avg=77339.09, 90=132863, 99=141567, 99.9=150015, 99.99=150015] 
2020-03-29 06:49:51:828 832 sec: 11504 operations; 14 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=140, Max=145407, Min=4492, Avg=71579.19, 90=128703, 99=141439, 99.9=145407, 99.99=145407] 
2020-03-29 06:50:01:828 842 sec: 11627 operations; 12.3 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=123, Max=151807, Min=8792, Avg=81157.98, 90=130751, 99=148351, 99.9=151807, 99.99=151807] 
2020-03-29 06:50:11:828 852 sec: 11771 operations; 14.4 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=144, Max=150271, Min=4252, Avg=69263.24, 90=129279, 99=147583, 99.9=150271, 99.99=150271] 
2020-03-29 06:50:21:828 862 sec: 11912 operations; 14.1 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=141, Max=150527, Min=4528, Avg=70979.76, 90=128063, 99=141183, 99.9=150527, 99.99=150527] 
2020-03-29 06:50:31:828 872 sec: 12060 operations; 14.8 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=148, Max=148991, Min=4496, Avg=67801.53, 90=125311, 99=141311, 99.9=148991, 99.99=148991] 
2020-03-29 06:50:41:828 882 sec: 12195 operations; 13.5 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=135, Max=150143, Min=4524, Avg=74202.7, 90=128831, 99=146431, 99.9=150143, 99.99=150143] 
2020-03-29 06:50:51:828 892 sec: 12335 operations; 14 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=140, Max=145791, Min=4520, Avg=71393.66, 90=119423, 99=140671, 99.9=145791, 99.99=145791] 
2020-03-29 06:51:01:828 902 sec: 12465 operations; 13 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=130, Max=158719, Min=4580, Avg=76243.51, 90=133503, 99=151039, 99.9=158719, 99.99=158719] 
2020-03-29 06:51:11:828 912 sec: 12601 operations; 13.6 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=136, Max=150527, Min=4548, Avg=74115.81, 90=132607, 99=140159, 99.9=150527, 99.99=150527] 
2020-03-29 06:51:21:828 922 sec: 12746 operations; 14.5 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=145, Max=146687, Min=4560, Avg=68965.21, 90=125183, 99=146559, 99.9=146687, 99.99=146687] 
2020-03-29 06:51:31:828 932 sec: 12880 operations; 13.4 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=134, Max=151423, Min=4488, Avg=74332.82, 90=128127, 99=142207, 99.9=151423, 99.99=151423] 
2020-03-29 06:51:41:828 942 sec: 13025 operations; 14.5 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=145, Max=146303, Min=4460, Avg=68725.81, 90=121919, 99=137599, 99.9=146303, 99.99=146303] 
