2020-03-29 05:39:37:111 831 sec: 11512 operations; 13.8 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=138, Max=162943, Min=4496, Avg=72275.41, 90=129087, 99=151935, 99.9=162943, 99.99=162943] 
2020-03-29 05:39:47:111 841 sec: 11648 operations; 13.6 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=136, Max=150143, Min=4296, Avg=73811.24, 90=130687, 99=148607, 99.9=150143, 99.99=150143] 
2020-03-29 05:39:57:111 851 sec: 11778 operations; 13 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=130, Max=141951, Min=4520, Avg=76851.45, 90=129535, 99=139263, 99.9=141951, 99.99=141951] 
2020-03-29 05:40:07:111 861 sec: 11908 operations; 13 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=130, Max=146431, Min=4620, Avg=76675.74, 90=129855, 99=145279, 99.9=146431, 99.99=146431] 
2020-03-29 05:40:17:111 871 sec: 12045 operations; 13.7 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=137, Max=139391, Min=4568, Avg=73125.77, 90=124671, 99=138367, 99.9=139391, 99.99=139391] 
2020-03-29 05:40:27:111 881 sec: 12181 operations; 13.6 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=136, Max=144383, Min=4516, Avg=73665.43, 90=121407, 99=140799, 99.9=144383, 99.99=144383] 
2020-03-29 05:40:37:112 891 sec: 12315 operations; 13.4 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=134, Max=154367, Min=4576, Avg=74219.31, 90=124415, 99=139391, 99.9=154367, 99.99=154367] 
2020-03-29 05:40:47:111 901 sec: 12454 operations; 13.9 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=139, Max=147711, Min=4536, Avg=72256.92, 90=131583, 99=146815, 99.9=147711, 99.99=147711] 
2020-03-29 05:40:57:111 911 sec: 12592 operations; 13.8 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=138, Max=163583, Min=4560, Avg=72204.64, 90=130495, 99=151039, 99.9=163583, 99.99=163583] 
2020-03-29 05:41:07:111 921 sec: 12736 operations; 14.4 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=144, Max=138751, Min=4560, Avg=69485.29, 90=128383, 99=138623, 99.9=138751, 99.99=138751] 
2020-03-29 05:41:17:111 931 sec: 12867 operations; 13.1 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=131, Max=154495, Min=4564, Avg=75683.56, 90=133119, 99=141951, 99.9=154495, 99.99=154495] 
2020-03-29 05:41:27:111 941 sec: 12996 operations; 12.9 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=129, Max=142335, Min=4632, Avg=78110.74, 90=133503, 99=140415, 99.9=142335, 99.99=142335] 
2020-03-29 05:41:37:111 951 sec: 13131 operations; 13.5 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=135, Max=150783, Min=4576, Avg=73957.84, 90=129663, 99=150143, 99.9=150783, 99.99=150783] 
2020-03-29 05:41:47:111 961 sec: 13272 operations; 14.1 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=141, Max=152063, Min=4524, Avg=70912.45, 90=119871, 99=143871, 99.9=152063, 99.99=152063] 
2020-03-29 05:41:57:111 971 sec: 13414 operations; 14.2 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=142, Max=141695, Min=4548, Avg=70394.35, 90=124863, 99=140543, 99.9=141695, 99.99=141695] 
2020-03-29 05:42:07:111 981 sec: 13551 operations; 13.7 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=137, Max=153087, Min=4424, Avg=73110.47, 90=133503, 99=152191, 99.9=153087, 99.99=153087] 
2020-03-29 05:42:17:114 991 sec: 13685 operations; 13.4 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=134, Max=151807, Min=4564, Avg=74556.31, 90=129151, 99=142335, 99.9=151807, 99.99=151807] 
2020-03-29 05:42:27:111 1001 sec: 13834 operations; 14.9 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=149, Max=146815, Min=4164, Avg=67233.87, 90=116031, 99=141311, 99.9=146815, 99.99=146815] 
