2020-03-29 02:05:55:250 652 sec: 13325 operations; 20.4 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=204, Max=115967, Min=4408, Avg=48908.24, 90=83071, 99=91775, 99.9=115967, 99.99=115967] 
2020-03-29 02:06:05:250 662 sec: 13525 operations; 20 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=200, Max=105023, Min=4524, Avg=50078.01, 90=86783, 99=100351, 99.9=105023, 99.99=105023] 
2020-03-29 02:06:15:250 672 sec: 13735 operations; 21 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=210, Max=100223, Min=4512, Avg=47568.31, 90=82815, 99=93695, 99.9=100223, 99.99=100223] 
2020-03-29 02:06:25:250 682 sec: 13936 operations; 20.1 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=201, Max=105407, Min=4324, Avg=49826.47, 90=87615, 99=99903, 99.9=105407, 99.99=105407] 
2020-03-29 02:06:35:250 692 sec: 14140 operations; 20.4 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=204, Max=98943, Min=4536, Avg=48971.25, 90=85951, 99=93951, 99.9=98943, 99.99=98943] 
2020-03-29 02:06:45:250 702 sec: 14336 operations; 19.6 current ops/sec; est completion in 5 days 15 hours [SCAN: Count=196, Max=103999, Min=4536, Avg=50922.44, 90=87551, 99=100415, 99.9=103999, 99.99=103999] 
2020-03-29 02:06:55:250 712 sec: 14531 operations; 19.5 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=195, Max=115583, Min=4564, Avg=51434.91, 90=90559, 99=100223, 99.9=115583, 99.99=115583] 
2020-03-29 02:07:05:250 722 sec: 14732 operations; 20.1 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=201, Max=99519, Min=4488, Avg=49590.28, 90=87231, 99=92927, 99.9=99519, 99.99=99519] 
2020-03-29 02:07:15:250 732 sec: 14922 operations; 19 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=190, Max=111423, Min=4524, Avg=52695.99, 90=86271, 99=105535, 99.9=111423, 99.99=111423] 
2020-03-29 02:07:25:250 742 sec: 15123 operations; 20.1 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=201, Max=99839, Min=4536, Avg=49672.6, 90=87935, 99=96127, 99.9=99839, 99.99=99839] 
2020-03-29 02:07:35:252 752 sec: 15320 operations; 19.7 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=197, Max=115839, Min=4576, Avg=50857.19, 90=87999, 99=104383, 99.9=115839, 99.99=115839] 
2020-03-29 02:07:45:250 762 sec: 15528 operations; 20.8 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=208, Max=105279, Min=4344, Avg=48075.85, 90=83071, 99=100031, 99.9=105279, 99.99=105279] 
2020-03-29 02:07:55:250 772 sec: 15717 operations; 18.9 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=189, Max=115391, Min=4432, Avg=52807.69, 90=87487, 99=92223, 99.9=115391, 99.99=115391] 
