/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-23 08:47:14:037 0 sec: 0 operations; est completion in 0 second 
2020-03-23 08:47:24:021 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 08:47:34:020 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(0, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
Loading oblivious tables.
2020-03-23 08:47:44:020 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-23 08:59:04:020 677 sec: 57797 operations; 85.4 current ops/sec; est completion in 1 day 8 hours [READ: Count=855, Max=22703, Min=11232, Avg=11679.28, 90=11799, 99=11927, 99.9=22703, 99.99=22703] 
2020-03-23 08:59:14:020 687 sec: 58654 operations; 85.7 current ops/sec; est completion in 1 day 8 hours [READ: Count=856, Max=22703, Min=11040, Avg=11653.27, 90=11791, 99=11895, 99.9=22703, 99.99=22703] 
2020-03-23 08:59:24:020 697 sec: 59510 operations; 85.6 current ops/sec; est completion in 1 day 8 hours [READ: Count=856, Max=22767, Min=11040, Avg=11673.13, 90=11783, 99=12615, 99.9=22767, 99.99=22767] 
2020-03-23 08:59:34:020 707 sec: 60361 operations; 85.1 current ops/sec; est completion in 1 day 8 hours [READ: Count=851, Max=22735, Min=11344, Avg=11729.95, 90=11791, 99=13415, 99.9=22735, 99.99=22735] 
2020-03-23 08:59:44:020 717 sec: 61216 operations; 85.5 current ops/sec; est completion in 1 day 8 hours [READ: Count=855, Max=22751, Min=11216, Avg=11676.27, 90=11791, 99=11943, 99.9=22751, 99.99=22751] 
2020-03-23 08:59:54:020 727 sec: 62070 operations; 85.4 current ops/sec; est completion in 1 day 8 hours [READ: Count=854, Max=22927, Min=11048, Avg=11703.77, 90=11799, 99=12687, 99.9=22927, 99.99=22927] 
2020-03-23 09:00:04:020 737 sec: 62921 operations; 85.1 current ops/sec; est completion in 1 day 8 hours [READ: Count=851, Max=22799, Min=11312, Avg=11735.06, 90=11791, 99=13375, 99.9=22799, 99.99=22799] 
2020-03-23 09:00:14:020 747 sec: 63775 operations; 85.4 current ops/sec; est completion in 1 day 8 hours [READ: Count=854, Max=22815, Min=11232, Avg=11701.69, 90=11807, 99=11951, 99.9=22815, 99.99=22815] 
2020-03-23 09:00:24:020 757 sec: 64632 operations; 85.7 current ops/sec; est completion in 1 day 8 hours [READ: Count=857, Max=22879, Min=11064, Avg=11665.61, 90=11791, 99=12143, 99.9=22879, 99.99=22879] 
2020-03-23 09:00:34:020 767 sec: 65488 operations; 85.6 current ops/sec; est completion in 1 day 8 hours [READ: Count=856, Max=22799, Min=11104, Avg=11665.68, 90=11783, 99=11879, 99.9=22799, 99.99=22799] 
2020-03-23 09:00:44:020 777 sec: 66343 operations; 85.5 current ops/sec; est completion in 1 day 8 hours [READ: Count=855, Max=22815, Min=11288, Avg=11682.41, 90=11783, 99=11991, 99.9=22815, 99.99=22815] 
2020-03-23 09:00:54:020 787 sec: 67199 operations; 85.6 current ops/sec; est completion in 1 day 8 hours [READ: Count=856, Max=22735, Min=11216, Avg=11678.97, 90=11799, 99=11991, 99.9=22735, 99.99=22735] 
2020-03-23 09:01:04:020 797 sec: 68051 operations; 85.2 current ops/sec; est completion in 1 day 8 hours [READ: Count=852, Max=22975, Min=11224, Avg=11718.07, 90=11791, 99=13311, 99.9=22975, 99.99=22975] 
2020-03-23 09:01:14:020 807 sec: 68903 operations; 85.2 current ops/sec; est completion in 1 day 8 hours [READ: Count=852, Max=22895, Min=11336, Avg=11737.09, 90=11807, 99=13343, 99.9=22895, 99.99=22895] 
2020-03-23 09:01:24:020 817 sec: 69755 operations; 85.2 current ops/sec; est completion in 1 day 8 hours [READ: Count=852, Max=22767, Min=11160, Avg=11723.87, 90=11807, 99=12639, 99.9=22767, 99.99=22767] 
2020-03-23 09:01:34:020 827 sec: 70607 operations; 85.2 current ops/sec; est completion in 1 day 8 hours [READ: Count=852, Max=22879, Min=11344, Avg=11726.98, 90=11799, 99=12431, 99.9=22879, 99.99=22879] 
