2020-03-23 13:09:07:096 836 sec: 53123 operations; 63.5 current ops/sec; est completion in 1 day 19 hours [READ: Count=635, Max=28047, Min=15208, Avg=15729.45, 90=15847, 99=16271, 99.9=28047, 99.99=28047] 
2020-03-23 13:09:17:096 846 sec: 53759 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=27743, Min=15272, Avg=15692.5, 90=15839, 99=15999, 99.9=27743, 99.99=27743] 
2020-03-23 13:09:27:096 856 sec: 54392 operations; 63.3 current ops/sec; est completion in 1 day 19 hours [READ: Count=633, Max=27999, Min=15304, Avg=15800.46, 90=15863, 99=16959, 99.9=27999, 99.99=27999] 
2020-03-23 13:09:37:096 866 sec: 55028 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=27903, Min=15280, Avg=15703.51, 90=15839, 99=15991, 99.9=27903, 99.99=27903] 
2020-03-23 13:09:47:096 876 sec: 55663 operations; 63.5 current ops/sec; est completion in 1 day 19 hours [READ: Count=635, Max=27743, Min=15272, Avg=15710.38, 90=15855, 99=16071, 99.9=27743, 99.99=27743] 
2020-03-23 13:09:57:096 886 sec: 56300 operations; 63.7 current ops/sec; est completion in 1 day 19 hours [READ: Count=637, Max=17903, Min=15232, Avg=15689.8, 90=15855, 99=16127, 99.9=17903, 99.99=17903] 
2020-03-23 13:10:07:096 896 sec: 56937 operations; 63.7 current ops/sec; est completion in 1 day 19 hours [READ: Count=637, Max=16959, Min=15152, Avg=15671.12, 90=15831, 99=15991, 99.9=16959, 99.99=16959] 
2020-03-23 13:10:17:096 906 sec: 57576 operations; 63.9 current ops/sec; est completion in 1 day 19 hours [READ: Count=639, Max=17887, Min=15096, Avg=15650.28, 90=15823, 99=15967, 99.9=17887, 99.99=17887] 
2020-03-23 13:10:27:096 916 sec: 58212 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=27823, Min=15048, Avg=15697.54, 90=15855, 99=16767, 99.9=27823, 99.99=27823] 
2020-03-23 13:10:37:096 926 sec: 58847 operations; 63.5 current ops/sec; est completion in 1 day 19 hours [READ: Count=635, Max=27743, Min=15248, Avg=15726.8, 90=15847, 99=16271, 99.9=27743, 99.99=27743] 
2020-03-23 13:10:47:096 936 sec: 59483 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=26559, Min=15248, Avg=15705.7, 90=15831, 99=15991, 99.9=26559, 99.99=26559] 
2020-03-23 13:10:57:096 946 sec: 60119 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=28175, Min=15232, Avg=15700.79, 90=15839, 99=16527, 99.9=28175, 99.99=28175] 
2020-03-23 13:11:07:096 956 sec: 60755 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=27807, Min=15312, Avg=15712.76, 90=15847, 99=16175, 99.9=27807, 99.99=27807] 
2020-03-23 13:11:17:096 966 sec: 61391 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=637, Max=27823, Min=15104, Avg=15690.31, 90=15839, 99=16015, 99.9=27823, 99.99=27823] 
2020-03-23 13:11:27:096 976 sec: 62026 operations; 63.5 current ops/sec; est completion in 1 day 19 hours [READ: Count=634, Max=27983, Min=15240, Avg=15745.85, 90=15847, 99=16623, 99.9=27983, 99.99=27983] 
2020-03-23 13:11:37:096 986 sec: 62663 operations; 63.7 current ops/sec; est completion in 1 day 19 hours [READ: Count=637, Max=27807, Min=15264, Avg=15700.08, 90=15847, 99=16351, 99.9=27807, 99.99=27807] 
2020-03-23 13:11:47:096 996 sec: 63297 operations; 63.4 current ops/sec; est completion in 1 day 19 hours [READ: Count=634, Max=28095, Min=15280, Avg=15759.85, 90=15839, 99=16639, 99.9=28095, 99.99=28095] 
2020-03-23 13:11:57:096 1006 sec: 63934 operations; 63.7 current ops/sec; est completion in 1 day 19 hours [READ: Count=637, Max=17295, Min=15256, Avg=15690.81, 90=15847, 99=16343, 99.9=17295, 99.99=17295] 
2020-03-23 13:12:07:096 1016 sec: 64570 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=27631, Min=15336, Avg=15705.97, 90=15839, 99=16279, 99.9=27631, 99.99=27631] 
2020-03-23 13:12:17:096 1026 sec: 65206 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=16767, Min=15352, Avg=15709.23, 90=15855, 99=16119, 99.9=16767, 99.99=16767] 
2020-03-23 13:12:27:096 1036 sec: 65843 operations; 63.7 current ops/sec; est completion in 1 day 19 hours [READ: Count=637, Max=27951, Min=15136, Avg=15693.59, 90=15839, 99=16719, 99.9=27951, 99.99=27951] 
2020-03-23 13:12:37:096 1046 sec: 66481 operations; 63.8 current ops/sec; est completion in 1 day 19 hours [READ: Count=638, Max=27935, Min=15192, Avg=15677.07, 90=15815, 99=16239, 99.9=27935, 99.99=27935] 
2020-03-23 13:12:47:096 1056 sec: 67117 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=28719, Min=15048, Avg=15698.7, 90=15823, 99=16287, 99.9=28719, 99.99=28719] 
2020-03-23 13:12:57:096 1066 sec: 67751 operations; 63.4 current ops/sec; est completion in 1 day 19 hours [READ: Count=634, Max=28191, Min=15136, Avg=15754.47, 90=15839, 99=16783, 99.9=28191, 99.99=28191] 
2020-03-23 13:13:07:096 1076 sec: 68388 operations; 63.7 current ops/sec; est completion in 1 day 19 hours [READ: Count=637, Max=27887, Min=15144, Avg=15693.81, 90=15823, 99=16063, 99.9=27887, 99.99=27887] 
2020-03-23 13:13:17:096 1086 sec: 69025 operations; 63.7 current ops/sec; est completion in 1 day 19 hours [READ: Count=637, Max=27839, Min=14992, Avg=15691.19, 90=15831, 99=16031, 99.9=27839, 99.99=27839] 
2020-03-23 13:13:27:096 1096 sec: 69661 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=27967, Min=15336, Avg=15728.69, 90=15839, 99=16271, 99.9=27967, 99.99=27967] 
2020-03-23 13:13:37:096 1106 sec: 70296 operations; 63.5 current ops/sec; est completion in 1 day 19 hours [READ: Count=635, Max=27919, Min=15232, Avg=15721.91, 90=15839, 99=16015, 99.9=27919, 99.99=27919] 
2020-03-23 13:13:47:096 1116 sec: 70932 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=28095, Min=15256, Avg=15721.35, 90=15839, 99=16375, 99.9=28095, 99.99=28095] 
