2020-04-06 19:21:43:020 800 sec: 126893 operations; 160.3 current ops/sec; est completion in 17 hours 17 minutes [READ: Count=1603, Max=14359, Min=5580, Avg=6230.21, 90=6359, 99=7575, 99.9=14215, 99.99=14359] 
2020-04-06 19:21:53:020 810 sec: 128500 operations; 160.7 current ops/sec; est completion in 17 hours 17 minutes [READ: Count=1607, Max=14999, Min=5684, Avg=6217.06, 90=6335, 99=8911, 99.9=14287, 99.99=14999] 
2020-04-06 19:22:03:020 820 sec: 130109 operations; 160.9 current ops/sec; est completion in 17 hours 16 minutes [READ: Count=1609, Max=14231, Min=5564, Avg=6203.86, 90=6339, 99=7327, 99.9=14151, 99.99=14231] 
2020-04-06 19:22:13:020 830 sec: 131721 operations; 161.2 current ops/sec; est completion in 17 hours 16 minutes [READ: Count=1612, Max=14279, Min=5740, Avg=6196.7, 90=6339, 99=6503, 99.9=13959, 99.99=14279] 
2020-04-06 19:22:23:020 840 sec: 133321 operations; 160 current ops/sec; est completion in 17 hours 16 minutes [READ: Count=1600, Max=14311, Min=5684, Avg=6240.36, 90=6355, 99=9023, 99.9=14135, 99.99=14311] 
2020-04-06 19:22:33:020 850 sec: 134928 operations; 160.7 current ops/sec; est completion in 17 hours 15 minutes [READ: Count=1607, Max=13959, Min=5640, Avg=6217.25, 90=6351, 99=6939, 99.9=13895, 99.99=13959] 
2020-04-06 19:22:43:020 860 sec: 136531 operations; 160.3 current ops/sec; est completion in 17 hours 15 minutes [READ: Count=1603, Max=14415, Min=5608, Avg=6229.92, 90=6355, 99=6675, 99.9=14239, 99.99=14415] 
2020-04-06 19:22:53:020 870 sec: 138125 operations; 159.4 current ops/sec; est completion in 17 hours 15 minutes [READ: Count=1594, Max=14479, Min=5516, Avg=6265.98, 90=6375, 99=9223, 99.9=14399, 99.99=14479] 
2020-04-06 19:23:03:020 880 sec: 139776 operations; 165.1 current ops/sec; est completion in 17 hours 14 minutes [READ: Count=1652, Max=14215, Min=5256, Avg=6048.34, 90=6315, 99=6575, 99.9=9431, 99.99=14215] 
2020-04-06 19:23:13:020 890 sec: 141380 operations; 160.38 current ops/sec; est completion in 17 hours 14 minutes [READ: Count=1603, Max=14023, Min=5424, Avg=6228.21, 90=6347, 99=7707, 99.9=13887, 99.99=14023] 
2020-04-06 19:23:23:022 900 sec: 142982 operations; 160.22 current ops/sec; est completion in 17 hours 14 minutes [READ: Count=1602, Max=14199, Min=5720, Avg=6235.07, 90=6355, 99=7539, 99.9=14199, 99.99=14199] 
2020-04-06 19:23:33:020 910 sec: 144582 operations; 160 current ops/sec; est completion in 17 hours 13 minutes [READ: Count=1600, Max=14703, Min=5580, Avg=6242.51, 90=6359, 99=8271, 99.9=14447, 99.99=14703] 
2020-04-06 19:23:43:020 920 sec: 146186 operations; 160.4 current ops/sec; est completion in 17 hours 13 minutes [READ: Count=1604, Max=14319, Min=5688, Avg=6224.03, 90=6347, 99=7475, 99.9=14143, 99.99=14319] 
2020-04-06 19:23:53:020 930 sec: 147783 operations; 159.7 current ops/sec; est completion in 17 hours 13 minutes [READ: Count=1598, Max=14623, Min=5752, Avg=6252.18, 90=6363, 99=9039, 99.9=14495, 99.99=14623] 
2020-04-06 19:24:03:020 940 sec: 149404 operations; 162.1 current ops/sec; est completion in 17 hours 13 minutes [READ: Count=1620, Max=14183, Min=5448, Avg=6165.51, 90=6339, 99=6795, 99.9=14079, 99.99=14183] 
2020-04-06 19:24:13:020 950 sec: 151011 operations; 160.7 current ops/sec; est completion in 17 hours 12 minutes [READ: Count=1607, Max=14175, Min=5772, Avg=6211.76, 90=6359, 99=6519, 99.9=14079, 99.99=14175] 
2020-04-06 19:24:23:020 960 sec: 152613 operations; 160.2 current ops/sec; est completion in 17 hours 12 minutes [READ: Count=1602, Max=14351, Min=5756, Avg=6234.06, 90=6367, 99=7067, 99.9=14263, 99.99=14351] 
2020-04-06 19:24:33:020 970 sec: 154210 operations; 159.7 current ops/sec; est completion in 17 hours 12 minutes [READ: Count=1597, Max=14351, Min=5828, Avg=6256.15, 90=6363, 99=8079, 99.9=14055, 99.99=14351] 
2020-04-06 19:24:43:020 980 sec: 155810 operations; 160 current ops/sec; est completion in 17 hours 12 minutes [READ: Count=1600, Max=14623, Min=5756, Avg=6240.72, 90=6367, 99=7615, 99.9=14279, 99.99=14623] 
2020-04-06 19:24:53:020 990 sec: 157414 operations; 160.4 current ops/sec; est completion in 17 hours 11 minutes [READ: Count=1604, Max=14351, Min=5592, Avg=6224.58, 90=6363, 99=7595, 99.9=14303, 99.99=14351] 
